1900	99
1901	78
1902	117
1903	90
1904	78
1905	105
1906	34
1907	73
1908	82
1909	26
1910	39
1911	84
1912	56
1913	22
1914	86
1915	49
1916	21
1917	74
1918	24
1919	61
1920	91
1921	82
1922	110
1923	64
1924	39
1925	41
1926	120
1927	90
1928	29
1929	113
1930	66
1931	108
1932	70
1933	63
1934	77
1935	28
1936	47
1937	91
1938	81
1939	109
1940	97
1941	100
1942	72
1943	32
1944	101
1945	38
1946	61
1947	101
1948	92
1949	64
1950	42
1951	62
1952	26
1953	32
1954	105
1955	44
1956	52
1957	105
1958	114
1959	61
1960	97
1961	59
1962	49
1963	47
1964	101
1965	106
1966	55
1967	28
1968	76
1969	115
1970	116
1971	52
1972	94
1973	68
1974	64
1975	75
1976	85
1977	104
1978	56
1979	57
1980	48
1981	78
1982	98
1983	54
1984	89
1985	82
1986	78
1987	120
1988	66
1989	71
1990	60
1991	42
1992	110
1993	88
1994	68
1995	90
1996	73
1997	102
1998	98
1999	28
2000	97
2001	94
2002	60
2003	71
2004	41
2005	103
2006	26
2007	106
2008	86
2009	61
2010	42
2011	114
2012	118
2013	119
2014	47
