1900	108
1901	87
1902	33
1903	81
1904	35
1905	119
1906	26
1907	120
1908	31
1909	55
1910	109
1911	94
1912	120
1913	39
1914	92
1915	30
1916	94
1917	81
1918	70
1919	93
1920	83
1921	84
1922	33
1923	24
1924	114
1925	100
1926	99
1927	101
1928	99
1929	62
1930	83
1931	86
1932	28
1933	96
1934	46
1935	43
1936	94
1937	52
1938	42
1939	105
1940	86
1941	31
1942	79
1943	85
1944	50
1945	50
1946	95
1947	23
1948	110
1949	45
1950	96
1951	72
1952	109
1953	109
1954	76
1955	103
1956	88
1957	54
1958	83
1959	67
1960	96
1961	46
1962	32
1963	104
1964	21
1965	58
1966	26
1967	94
1968	90
1969	48
1970	79
1971	56
1972	58
1973	37
1974	21
1975	87
1976	66
1977	96
1978	89
1979	56
1980	120
1981	65
1982	108
1983	109
1984	53
1985	64
1986	91
1987	120
1988	98
1989	54
1990	66
1991	73
1992	80
1993	78
1994	56
1995	80
1996	116
1997	62
1998	54
1999	85
2000	89
2001	112
2002	21
2003	26
2004	28
2005	21
2006	92
2007	74
2008	96
2009	61
2010	110
2011	96
2012	105
2013	97
2014	84
