1900	38
1901	92
1902	76
1903	117
1904	26
1905	42
1906	54
1907	111
1908	108
1909	44
1910	76
1911	97
1912	46
1913	56
1914	71
1915	24
1916	114
1917	112
1918	116
1919	88
1920	99
1921	84
1922	71
1923	81
1924	25
1925	92
1926	52
1927	107
1928	60
1929	68
1930	54
1931	77
1932	40
1933	109
1934	74
1935	46
1936	31
1937	108
1938	36
1939	118
1940	31
1941	91
1942	95
1943	57
1944	27
1945	45
1946	61
1947	21
1948	37
1949	56
1950	88
1951	116
1952	119
1953	39
1954	77
1955	23
1956	110
1957	108
1958	110
1959	50
1960	56
1961	43
1962	107
1963	75
1964	31
1965	60
1966	101
1967	42
1968	47
1969	116
1970	40
1971	58
1972	87
1973	114
1974	95
1975	94
1976	39
1977	35
1978	94
1979	56
1980	70
1981	62
1982	51
1983	69
1984	80
1985	107
1986	72
1987	70
1988	95
1989	61
1990	100
1991	31
1992	83
1993	87
1994	86
1995	94
1996	26
1997	66
1998	115
1999	53
2000	62
2001	35
2002	91
2003	28
2004	29
2005	65
2006	102
2007	47
2008	80
2009	75
2010	82
2011	30
2012	116
2013	113
2014	78
