1900	41
1901	100
1902	72
1903	66
1904	87
1905	81
1906	74
1907	68
1908	95
1909	95
1910	58
1911	82
1912	82
1913	95
1914	29
1915	117
1916	112
1917	84
1918	120
1919	40
1920	86
1921	118
1922	70
1923	76
1924	118
1925	50
1926	54
1927	40
1928	109
1929	110
1930	92
1931	30
1932	90
1933	44
1934	75
1935	56
1936	104
1937	29
1938	104
1939	79
1940	104
1941	42
1942	40
1943	66
1944	116
1945	49
1946	62
1947	107
1948	112
1949	62
1950	26
1951	78
1952	59
1953	76
1954	33
1955	56
1956	105
1957	67
1958	76
1959	94
1960	56
1961	47
1962	103
1963	26
1964	71
1965	57
1966	61
1967	55
1968	66
1969	45
1970	113
1971	50
1972	66
1973	33
1974	95
1975	61
1976	61
1977	36
1978	47
1979	53
1980	77
1981	53
1982	110
1983	116
1984	109
1985	23
1986	51
1987	93
1988	69
1989	106
1990	66
1991	105
1992	33
1993	49
1994	110
1995	83
1996	86
1997	51
1998	118
1999	31
2000	75
2001	110
2002	60
2003	120
2004	22
2005	35
2006	60
2007	62
2008	50
2009	87
2010	95
2011	107
2012	120
2013	84
2014	102
