1900	62
1901	37
1902	36
1903	114
1904	90
1905	59
1906	59
1907	74
1908	30
1909	112
1910	47
1911	80
1912	105
1913	63
1914	103
1915	31
1916	26
1917	22
1918	104
1919	25
1920	44
1921	53
1922	76
1923	99
1924	86
1925	89
1926	25
1927	93
1928	74
1929	81
1930	41
1931	116
1932	97
1933	57
1934	109
1935	66
1936	95
1937	47
1938	120
1939	105
1940	39
1941	46
1942	65
1943	23
1944	88
1945	47
1946	34
1947	93
1948	48
1949	118
1950	97
1951	72
1952	50
1953	52
1954	51
1955	116
1956	21
1957	55
1958	88
1959	74
1960	115
1961	109
1962	69
1963	92
1964	46
1965	57
1966	37
1967	21
1968	84
1969	37
1970	106
1971	102
1972	62
1973	50
1974	105
1975	29
1976	77
1977	118
1978	102
1979	104
1980	116
1981	79
1982	56
1983	45
1984	111
1985	86
1986	41
1987	111
1988	21
1989	109
1990	64
1991	115
1992	97
1993	113
1994	86
1995	23
1996	50
1997	103
1998	23
1999	114
2000	119
2001	108
2002	95
2003	61
2004	37
2005	79
2006	70
2007	93
2008	77
2009	51
2010	77
2011	72
2012	109
2013	113
2014	97
