1900	76
1901	99
1902	29
1903	26
1904	74
1905	70
1906	106
1907	84
1908	33
1909	72
1910	49
1911	106
1912	77
1913	94
1914	101
1915	110
1916	36
1917	115
1918	80
1919	44
1920	23
1921	25
1922	25
1923	50
1924	85
1925	79
1926	112
1927	94
1928	75
1929	104
1930	51
1931	31
1932	83
1933	60
1934	36
1935	36
1936	110
1937	21
1938	100
1939	22
1940	72
1941	28
1942	108
1943	29
1944	102
1945	88
1946	118
1947	117
1948	83
1949	78
1950	41
1951	86
1952	83
1953	45
1954	115
1955	47
1956	104
1957	106
1958	120
1959	58
1960	90
1961	51
1962	68
1963	52
1964	91
1965	84
1966	67
1967	81
1968	84
1969	47
1970	82
1971	36
1972	54
1973	69
1974	44
1975	36
1976	37
1977	42
1978	33
1979	99
1980	100
1981	53
1982	64
1983	62
1984	77
1985	59
1986	88
1987	60
1988	45
1989	88
1990	98
1991	114
1992	119
1993	46
1994	45
1995	90
1996	109
1997	92
1998	50
1999	73
2000	118
2001	112
2002	88
2003	52
2004	60
2005	112
2006	68
2007	77
2008	33
2009	80
2010	55
2011	112
2012	113
2013	99
2014	54
