1900	87
1901	80
1902	105
1903	86
1904	26
1905	55
1906	26
1907	48
1908	44
1909	93
1910	95
1911	114
1912	46
1913	77
1914	92
1915	54
1916	54
1917	65
1918	93
1919	104
1920	85
1921	75
1922	110
1923	71
1924	41
1925	51
1926	92
1927	35
1928	48
1929	91
1930	61
1931	114
1932	51
1933	46
1934	80
1935	56
1936	80
1937	85
1938	83
1939	104
1940	58
1941	58
1942	98
1943	83
1944	115
1945	70
1946	117
1947	48
1948	114
1949	89
1950	32
1951	79
1952	44
1953	21
1954	29
1955	64
1956	51
1957	100
1958	78
1959	79
1960	71
1961	119
1962	73
1963	101
1964	45
1965	32
1966	36
1967	105
1968	97
1969	99
1970	88
1971	34
1972	36
1973	66
1974	97
1975	30
1976	115
1977	93
1978	57
1979	109
1980	62
1981	69
1982	67
1983	85
1984	69
1985	75
1986	29
1987	100
1988	55
1989	87
1990	58
1991	105
1992	86
1993	110
1994	85
1995	110
1996	22
1997	101
1998	94
1999	99
2000	79
2001	62
2002	112
2003	94
2004	108
2005	89
2006	104
2007	103
2008	61
2009	41
2010	91
2011	103
2012	89
2013	37
2014	67
