1900	33
1901	54
1902	78
1903	22
1904	105
1905	78
1906	95
1907	89
1908	69
1909	63
1910	91
1911	80
1912	26
1913	37
1914	110
1915	51
1916	89
1917	25
1918	99
1919	71
1920	28
1921	108
1922	36
1923	86
1924	51
1925	69
1926	28
1927	101
1928	114
1929	77
1930	21
1931	26
1932	110
1933	79
1934	27
1935	95
1936	36
1937	102
1938	63
1939	84
1940	45
1941	34
1942	44
1943	50
1944	50
1945	34
1946	81
1947	119
1948	39
1949	59
1950	69
1951	46
1952	46
1953	85
1954	111
1955	77
1956	33
1957	119
1958	58
1959	26
1960	75
1961	59
1962	32
1963	65
1964	117
1965	39
1966	40
1967	33
1968	120
1969	83
1970	97
1971	44
1972	96
1973	120
1974	74
1975	25
1976	34
1977	35
1978	23
1979	52
1980	73
1981	72
1982	77
1983	99
1984	36
1985	68
1986	56
1987	48
1988	66
1989	93
1990	54
1991	21
1992	31
1993	66
1994	65
1995	28
1996	84
1997	84
1998	40
1999	84
2000	46
2001	116
2002	108
2003	21
2004	116
2005	62
2006	26
2007	29
2008	76
2009	28
2010	60
2011	28
2012	80
2013	117
2014	107
