1900	37
1901	40
1902	55
1903	37
1904	117
1905	88
1906	83
1907	70
1908	47
1909	40
1910	106
1911	107
1912	36
1913	47
1914	40
1915	100
1916	115
1917	32
1918	100
1919	21
1920	40
1921	101
1922	93
1923	93
1924	76
1925	33
1926	82
1927	51
1928	118
1929	59
1930	115
1931	35
1932	78
1933	49
1934	52
1935	75
1936	116
1937	114
1938	24
1939	43
1940	34
1941	110
1942	29
1943	49
1944	36
1945	49
1946	29
1947	31
1948	60
1949	109
1950	31
1951	79
1952	90
1953	104
1954	51
1955	45
1956	116
1957	113
1958	76
1959	114
1960	51
1961	70
1962	29
1963	109
1964	98
1965	60
1966	64
1967	94
1968	54
1969	68
1970	116
1971	67
1972	57
1973	25
1974	96
1975	72
1976	53
1977	105
1978	83
1979	92
1980	94
1981	93
1982	50
1983	63
1984	76
1985	81
1986	87
1987	72
1988	74
1989	43
1990	66
1991	105
1992	92
1993	74
1994	93
1995	70
1996	113
1997	36
1998	43
1999	47
2000	84
2001	39
2002	93
2003	120
2004	43
2005	69
2006	71
2007	75
2008	54
2009	33
2010	47
2011	27
2012	106
2013	76
2014	69
